FUNCTION_BLOCK,BODY_TYPE,RUNG,OBJECT_TYPE_LIST,ATTRIBUTES
Counter_for_Part_No_ZAW,LD,1,Data Source/Sink Comments,"Device_In
品番シフト=PART No. SHIFT"
Counter_for_Part_No_ZAW,LD,35,Data Source/Sink Comments,カウント=COUNT UP
Counter_for_Part_No_ZAW,LD,71,Data Source/Sink Comments,カウント値リセット=COUNTER RESET
Counter_for_Part_No_ZAW,LD,172,Data Source/Sink Comments,タッチパネル画面2表示=INDICATE HMI PAGE 2
Counter_for_Part_No_ZAW,LD,173,Data Source/Sink Comments,タッチパネル画面3表示(ロットNO)=INDICATE HMI PAGE 3(LOT NO)
Servo_System_ZBW,LD,1,Data Source/Sink Comments,■未使用軸判定　運転開始時1回のみ実行　次スキャン以降はジャンプ
Servo_System_ZBW,LD,7,Data Source/Sink Comments,■対象軸01　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,9,Data Source/Sink Comments,■対象軸02　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,11,Data Source/Sink Comments,■対象軸03　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,13,Data Source/Sink Comments,■対象軸04　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,15,Data Source/Sink Comments,■対象軸05　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,17,Data Source/Sink Comments,■対象軸06　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,19,Data Source/Sink Comments,■対象軸07　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,21,Data Source/Sink Comments,■対象軸08　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,23,Data Source/Sink Comments,■対象軸09　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,25,Data Source/Sink Comments,■対象軸10　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,27,Data Source/Sink Comments,■対象軸11　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,29,Data Source/Sink Comments,■対象軸12　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,31,Data Source/Sink Comments,■対象軸13　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,33,Data Source/Sink Comments,■対象軸14　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,35,Data Source/Sink Comments,■対象軸15　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,37,Data Source/Sink Comments,■対象軸16　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,39,Data Source/Sink Comments,■対象軸17　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,41,Data Source/Sink Comments,■対象軸18　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,43,Data Source/Sink Comments,■対象軸19　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,45,Data Source/Sink Comments,■対象軸20　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,47,Data Source/Sink Comments,■対象軸21　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,49,Data Source/Sink Comments,■対象軸22　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,51,Data Source/Sink Comments,■対象軸23　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,53,Data Source/Sink Comments,■対象軸24　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,55,Data Source/Sink Comments,■対象軸25　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,57,Data Source/Sink Comments,■対象軸26　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,59,Data Source/Sink Comments,■対象軸27　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,61,Data Source/Sink Comments,■対象軸28　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,63,Data Source/Sink Comments,■対象軸29　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,65,Data Source/Sink Comments,■対象軸30　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,67,Data Source/Sink Comments,■対象軸31　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,69,Data Source/Sink Comments,■対象軸32　未使用軸の場合ジャンプ
Servo_System_ZBW,LD,72,Data Source/Sink Comments,■HMI
Servo_System_ZBW,LD,74,Data Source/Sink Comments,■異常出力
Servo_System_ZBW,LD,85,Data Source/Sink Comments,■ｻｰﾎﾞ異常
Servo_System_ZBW,LD,87,Data Source/Sink Comments,■FLT出力
ServoAdjustment_ServoFB_ZBW,LD,2,Data Source/Sink Comments,"■入力ﾊﾟﾗﾒｰﾀ設定
AxisNo：1～32　（軸番号）
LD010：1～32     （画面の軸番号）
LD013：0～31     （制御軸番号）"
ServoAdjustment_ServoFB_ZBW,LD,3,Data Source/Sink Comments,■原点ｵﾌｾｯﾄ値、ｵｰﾊﾞｰﾗｲﾄﾞ値、JOG速度
ServoAdjustment_ServoFB_ZBW,LD,4,Data Source/Sink Comments,■ｴﾝｺｰﾀﾞﾊﾞｯﾃﾘ異常ｺﾝﾊﾞｰﾄ
ServoAdjustment_ServoFB_ZBW,LD,8,Data Source/Sink Comments,■ｻｰﾎﾞﾛｯｸ条件
ServoAdjustment_ServoFB_ZBW,LD,18,Data Source/Sink Comments,■PB操作_ｻｰﾎﾞ調整有効
ServoAdjustment_ServoFB_ZBW,LD,19,Data Source/Sink Comments,■PB操作_JOG調整有効
ServoAdjustment_ServoFB_ZBW,LD,20,Data Source/Sink Comments,■PB操作_ﾊﾟｿｺﾝ調整有効
ServoAdjustment_ServoFB_ZBW,LD,21,Data Source/Sink Comments,■PB操作_ﾌﾞﾚｰｷ調整有効
ServoAdjustment_ServoFB_ZBW,LD,22,Data Source/Sink Comments,■STOｱﾗｰﾑ
ServoAdjustment_ServoFB_ZBW,LD,24,Data Source/Sink Comments,■異常ｽﾃｰﾀｽ
ServoAdjustment_ServoFB_ZBW,LD,26,Data Source/Sink Comments,■ｻｰﾎﾞ軸ｱﾗｰﾑﾘｾｯﾄ
ServoAdjustment_ServoFB_ZBW,LD,28,Data Source/Sink Comments,■各軸 ｻｰﾎﾞﾛｯｸ/ｱﾝﾛｯｸ
