FUNCTION_BLOCK,BODY_TYPE,RUNG,RUNG_NAME,OBJECT,OBJECT_TYPE_LIST,ATTRIBUTES
Counter_for_Part_No_ZAW,LD,1,"
Device_In
品番シフト=PART No. SHIFT
",CommonObject,Comment,{}
Counter_for_Part_No_ZAW,LD,1,"
Device_In
品番シフト=PART No. SHIFT
",LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
Counter_for_Part_No_ZAW,LD,1,"
Device_In
品番シフト=PART No. SHIFT
",FbdObject,DataSource,"{'identifier': 'Part_No_Curent.BASE', 'out_list': ['2']}"
Counter_for_Part_No_ZAW,LD,1,"
Device_In
品番シフト=PART No. SHIFT
",FbdObject,DataSource,"{'identifier': 'Part_No_Curent.UPPER6', 'out_list': ['3']}"
Counter_for_Part_No_ZAW,LD,1,"
Device_In
品番シフト=PART No. SHIFT
",FbdObject,DataSource,"{'identifier': 'Part_No_Curent.LOWER4', 'out_list': ['4']}"
Counter_for_Part_No_ZAW,LD,1,"
Device_In
品番シフト=PART No. SHIFT
",FbdObject,Block,{}
Counter_for_Part_No_ZAW,LD,1,"
Device_In
品番シフト=PART No. SHIFT
",FbdObject,DataSink,"{'identifier': 'LD140', 'in_list': ['6']}"
Counter_for_Part_No_ZAW,LD,1,"
Device_In
品番シフト=PART No. SHIFT
",LdObject,RightPowerRail,"{'in_list': ['5'], 'out_list': []}"
Counter_for_Part_No_ZAW,LD,2,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
Counter_for_Part_No_ZAW,LD,2,NONE,FbdObject,DataSource,"{'identifier': 'Lot_No', 'out_list': ['2']}"
Counter_for_Part_No_ZAW,LD,2,NONE,FbdObject,Block,"{'typeName': 'MOVE', 'EN_inVar_in_order': ['1'], 'EN_inVar_in_list': ['1'], 'In_inVar_in_order': ['2'], 'In_inVar_in_list': ['2'], 'ENO_outVar_out_order': ['1'], 'ENO_outVar_out_list': ['3'], 'Out_outVar_out_order': ['2'], 'Out_outVar_out_list': ['4']}"
Counter_for_Part_No_ZAW,LD,2,NONE,FbdObject,DataSink,"{'identifier': 'LD150', 'in_list': ['4']}"
