PROGRAM,BODY,RUNG,RUNG_NAME,OBJECT,OBJECT_TYPE_LIST,ATTRIBUTES
P000_InitialSetting,Initial,1,"
■初期設定 =INITIAL SETTING
",CommonObject,Comment,{}
P000_InitialSetting,Initial,1,"
■初期設定 =INITIAL SETTING
",LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,1,"
■初期設定 =INITIAL SETTING
",LdObject,Contact,"{'operand': 'P_On', 'negated': 'false', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,1,"
■初期設定 =INITIAL SETTING
",LdObject,Coil,"{'operand': 'GSB000', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,1,"
■初期設定 =INITIAL SETTING
",LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,2,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,2,NONE,LdObject,Contact,"{'operand': 'P_Off', 'negated': 'false', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,2,NONE,LdObject,Coil,"{'operand': 'GSB001', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,2,NONE,LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,3,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,3,NONE,LdObject,Contact,"{'operand': 'P_On', 'negated': 'false', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,3,NONE,FbdObject,DataSource,"{'identifier': 'T#30.0s', 'out_list': ['3']}"
P000_InitialSetting,Initial,3,NONE,FbdObject,Block,"{'typeName': 'TON', 'instanceName': 'LT000', 'In_inVar_in_order': ['1'], 'In_inVar_in_list': ['2'], 'PT_inVar_in_order': ['2'], 'PT_inVar_in_list': ['3'], 'Q_outVar_out_order': ['1'], 'Q_outVar_out_list': ['4'], 'ET_outVar_out_order': ['2'], 'ET_outVar_out_list': ['5']}"
P000_InitialSetting,Initial,3,NONE,FbdObject,DataSink,"{'identifier': '', 'in_list': ['5']}"
P000_InitialSetting,Initial,3,NONE,LdObject,Coil,"{'operand': 'PWR_ON', 'in_list': ['4'], 'out_list': ['6']}"
P000_InitialSetting,Initial,3,NONE,LdObject,RightPowerRail,"{'in_list': ['6'], 'out_list': []}"
P000_InitialSetting,Initial,4,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,4,NONE,LdObject,Contact,"{'operand': 'PWR_ON', 'negated': 'false', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,4,NONE,FbdObject,DataSource,"{'identifier': '_PLC_ErrSta', 'out_list': ['3']}"
P000_InitialSetting,Initial,4,NONE,FbdObject,DataSource,"{'identifier': 'USINT#6', 'out_list': ['4']}"
P000_InitialSetting,Initial,4,NONE,FbdObject,Block,"{'typeName': 'TestABitN', 'EN_inVar_in_order': ['1'], 'EN_inVar_in_list': ['2'], 'In_inVar_in_order': ['2'], 'In_inVar_in_list': ['3'], 'Pos_inVar_in_order': ['3'], 'Pos_inVar_in_list': ['4'], '_outVar_out_order': ['1'], '_outVar_out_list': ['5']}"
P000_InitialSetting,Initial,4,NONE,FbdObject,DataSource,"{'identifier': '_PLC_ErrSta', 'out_list': ['6']}"
P000_InitialSetting,Initial,4,NONE,FbdObject,DataSource,"{'identifier': 'USINT#5', 'out_list': ['7']}"
P000_InitialSetting,Initial,4,NONE,FbdObject,Block,"{'typeName': 'TestABitN', 'EN_inVar_in_order': ['1'], 'EN_inVar_in_list': ['5'], 'In_inVar_in_order': ['2'], 'In_inVar_in_list': ['6'], 'Pos_inVar_in_order': ['3'], 'Pos_inVar_in_list': ['7'], '_outVar_out_order': ['1'], '_outVar_out_list': ['8']}"
P000_InitialSetting,Initial,4,NONE,LdObject,Coil,"{'operand': 'PLC_GOOD', 'in_list': ['8'], 'out_list': ['9']}"
P000_InitialSetting,Initial,4,NONE,LdObject,RightPowerRail,"{'in_list': ['9'], 'out_list': []}"
P000_InitialSetting,Initial,5,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,5,NONE,FbdObject,Block,{}
P000_InitialSetting,Initial,5,NONE,LdObject,Coil,"{'operand': 'aP_1s', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,5,NONE,LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,6,"
■爆発・火災警告コイル =FIRE HAZARD WARNING COIL
　　爆発・火災リスクのある重要箇所の明示用接点
",CommonObject,Comment,{}
P000_InitialSetting,Initial,6,"
■爆発・火災警告コイル =FIRE HAZARD WARNING COIL
　　爆発・火災リスクのある重要箇所の明示用接点
",LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,6,"
■爆発・火災警告コイル =FIRE HAZARD WARNING COIL
　　爆発・火災リスクのある重要箇所の明示用接点
",LdObject,Contact,"{'operand': 'P_On', 'negated': 'false', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,6,"
■爆発・火災警告コイル =FIRE HAZARD WARNING COIL
　　爆発・火災リスクのある重要箇所の明示用接点
",LdObject,Coil,"{'operand': 'GSBFH001', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,6,"
■爆発・火災警告コイル =FIRE HAZARD WARNING COIL
　　爆発・火災リスクのある重要箇所の明示用接点
",LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,7,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,7,NONE,LdObject,Contact,"{'operand': 'P_On', 'negated': 'false', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,7,NONE,LdObject,Coil,"{'operand': 'GSBFH002', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,7,NONE,LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,8,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,8,NONE,LdObject,Contact,"{'operand': 'P_On', 'negated': 'false', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,8,NONE,LdObject,Coil,"{'operand': 'GSBFH003', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,8,NONE,LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,9,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,9,NONE,LdObject,Contact,"{'operand': 'P_On', 'negated': 'false', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,9,NONE,LdObject,Coil,"{'operand': 'GSBFH004', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,9,NONE,LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,10,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,10,NONE,LdObject,Contact,"{'operand': 'P_On', 'negated': 'false', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,10,NONE,LdObject,Coil,"{'operand': 'GSBFH005', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,10,NONE,LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,11,"
■設計用ｺｲﾙ =DESIGN COIL
        設計上の改造・変更箇所の明示、回路切替用接点 
",CommonObject,Comment,{}
P000_InitialSetting,Initial,11,"
■設計用ｺｲﾙ =DESIGN COIL
        設計上の改造・変更箇所の明示、回路切替用接点 
",LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,11,"
■設計用ｺｲﾙ =DESIGN COIL
        設計上の改造・変更箇所の明示、回路切替用接点 
",LdObject,Contact,"{'operand': 'GSB000', 'negated': 'true', 'in_list': ['1'], 'out_list': ['2']}"
P000_InitialSetting,Initial,11,"
■設計用ｺｲﾙ =DESIGN COIL
        設計上の改造・変更箇所の明示、回路切替用接点 
",LdObject,Coil,"{'operand': 'GSB002', 'in_list': ['2'], 'out_list': ['3']}"
P000_InitialSetting,Initial,11,"
■設計用ｺｲﾙ =DESIGN COIL
        設計上の改造・変更箇所の明示、回路切替用接点 
",LdObject,RightPowerRail,"{'in_list': ['3'], 'out_list': []}"
P000_InitialSetting,Initial,12,NONE,LdObject,LeftPowerRail,"{'in_list': [], 'out_list': ['1']}"
P000_InitialSetting,Initial,12,NONE,LdObject,Contact,"{'operand': 'GSB000', 'negated': 'true', 'in_list': ['1'], 'out_list': ['2']}"
