PROGRAM,BODY,RUNG,OBJECT_TYPE_LIST,ATTRIBUTES
P000_InitialSetting,Initial,1,Data Source/Sink Comments,■初期設定 =INITIAL SETTING
P000_InitialSetting,Initial,6,Data Source/Sink Comments,"■爆発・火災警告コイル =FIRE HAZARD WARNING COIL
　　爆発・火災リスクのある重要箇所の明示用接点"
P000_InitialSetting,Initial,11,Data Source/Sink Comments,"■設計用ｺｲﾙ =DESIGN COIL
        設計上の改造・変更箇所の明示、回路切替用接点"
P000_InitialSetting,Initial,19,Data Source/Sink Comments,"■調整用ｺｲﾙ =ADJUSTMENT COIL
        調整中の一時的な回路無効化/有効化、変更箇所の明示"
P000_InitialSetting,Initial,29,Data Source/Sink Comments,■独立制御機器　監視タイマ設定　=IndependentControlDevice StopFault TimerSetting
P000_InitialSetting,Fault,1,Data Source/Sink Comments,"■異常解除 =FAULT RESET
        P000_InitialSetting内で発生した異常をリセットする"
P000_InitialSetting,Fault,2,Data Source/Sink Comments,"■緊急停止異常 =EMERGENCY STOP 
        _PLC_ErrSta: PLC機能ﾓｼﾞｭｰﾙ異常ｽﾃｰﾀｽ =PLC FUNCTION MODULE FAULT STATUS
　　　(7bit: 全停止ﾌｫｰﾙﾄ ﾕｰｻﾞﾌﾟﾛｸﾞﾗﾑ停止するため表示不可 / 6bit: 部分停止ﾌｫｰﾙﾄ / 5bit: 軽度ﾌｫｰﾙﾄ / 4bit: 監視情報(警報異常) / 他：予約)"
P000_InitialSetting,Fault,3,Data Source/Sink Comments,"_EIP_ErrSta: 内蔵EtherNet/IP異常ｽﾃｰﾀｽ =BUILD IN EtherNet/IP FAULT STATUS
　　　(7bit: 全停止ﾌｫｰﾙﾄ ﾕｰｻﾞﾌﾟﾛｸﾞﾗﾑ停止するため表示不可 / 6bit: 部分停止ﾌｫｰﾙﾄ / 5bit: 軽度ﾌｫｰﾙﾄ(警報異常) / 4bit: 監視情報(警報異常) / 他：予約)"
P000_InitialSetting,Fault,4,Data Source/Sink Comments,"_EC_ErrSta: 内蔵EtherCAT異常ｽﾃｰﾀｽ =BUILD IN EtherCAT FAULT STATUS
　　　(7bit: 全停止ﾌｫｰﾙﾄ-ﾕｰｻﾞﾌﾟﾛｸﾞﾗﾑ停止するため表示不可 / 6bit: 部分停止ﾌｫｰﾙﾄ / 5bit: 軽度ﾌｫｰﾙﾄ(警報異常) / 4bit: 監視情報(警報異常) / 他：予約)

　　_EC_PDActive:  ﾌﾟﾛｾｽﾃﾞｰﾀ通信ｽﾃｰﾀｽ =PROCESS DATA COMMUNICATION STATUS
　　　ONで通信正常。EtherCAT機器未使用時はOFFのため_EC_PDActive信号をすべて削除してください 
　　　ON is communication normal. If not in use EtherCAT device, delete _EC_PDActive due to turn it off."
P000_InitialSetting,Fault,6,Data Source/Sink Comments,"_EIP_ErrSta: 内蔵EtherNet/IP異常ｽﾃｰﾀｽ =BUILD IN EtherNet/IP FAULT STATUS
　　　(5bit: 軽度ﾌｫｰﾙﾄ)"
P000_InitialSetting,Fault,9,Data Source/Sink Comments,"_EC_ErrSta: 内蔵EtherCAT異常ｽﾃｰﾀｽ =BUILD IN EtherCAT FAULT STATUS
　　　(5bit: 軽度ﾌｫｰﾙﾄ)"
P000_InitialSetting,Fault,12,Data Source/Sink Comments,"_PLC_ErrSta: PLC機能ﾓｼﾞｭｰﾙ異常ｽﾃｰﾀｽ =PLC FUNCTION MODULE FAULT STATUS
　　　(4bit: 監視情報)"
P000_InitialSetting,Fault,15,Data Source/Sink Comments,"_EIP_ErrSta: 内蔵EtherNet/IP異常ｽﾃｰﾀｽ =BUILD IN EtherNet/IP FAULT STATUS
　　　(4bit: 監視情報)"
P000_InitialSetting,Fault,18,Data Source/Sink Comments,"_EC_ErrSta: 内蔵EtherCAT異常ｽﾃｰﾀｽ =BUILD IN EtherCAT FAULT STATUS
　　　(4bit: 監視情報)"
P000_InitialSetting,Fault,21,Data Source/Sink Comments,- PLCﾊﾞｯﾃﾘ交換 =PLC BATTERY REPLACE
P000_InitialSetting,Fault,25,Data Source/Sink Comments,■緊急停止まとめ =EMERGENCY STOP TOTAL
P000_InitialSetting,Fault,29,Data Source/Sink Comments,■自動停止まとめ =AUTO STOP TOTAL
P000_InitialSetting,Fault,32,Data Source/Sink Comments,■ｻｲｸﾙ停止まとめ =CYCLE STOP TOTAL
P000_InitialSetting,Fault,35,Data Source/Sink Comments,■異常停止まとめ =FAULT STOP TOTAL
P000_InitialSetting,Fault,38,Data Source/Sink Comments,■予告警報まとめ =WARNING TOTAL
P000_InitialSetting,Fault,43,Data Source/Sink Comments,■異常まとめ
P000_InitialSetting,Output,1,Data Source/Sink Comments,■各Mainへ出力 =MODULE OUTPUT
P002_ServoAdjustment,Initial,1,Data Source/Sink Comments,■軸番号(１～32) =AXIS No.(1-32)
P002_ServoAdjustment,Fault,2,Data Source/Sink Comments,■軸1 =AXIS 1
P002_ServoAdjustment,Fault,3,Data Source/Sink Comments,■軸2 =AXIS 2
P002_ServoAdjustment,Fault,4,Data Source/Sink Comments,■軸3 =AXIS 3
P002_ServoAdjustment,Fault,5,Data Source/Sink Comments,■軸4 =AXIS 4
P002_ServoAdjustment,Fault,6,Data Source/Sink Comments,■軸5 =AXIS 5
P002_ServoAdjustment,Fault,7,Data Source/Sink Comments,■軸6 =AXIS 6
P002_ServoAdjustment,Fault,8,Data Source/Sink Comments,■軸7 =AXIS 7
P002_ServoAdjustment,Fault,9,Data Source/Sink Comments,■軸8 =AXIS 8
P002_ServoAdjustment,Fault,10,Data Source/Sink Comments,■軸9 =AXIS 9
P002_ServoAdjustment,Fault,11,Data Source/Sink Comments,■軸10 =AXIS 10
P002_ServoAdjustment,Fault,12,Data Source/Sink Comments,■軸11 =AXIS 11
P002_ServoAdjustment,Fault,13,Data Source/Sink Comments,■軸12 =AXIS 12
P002_ServoAdjustment,Fault,14,Data Source/Sink Comments,■軸13 =AXIS 13
P002_ServoAdjustment,Fault,15,Data Source/Sink Comments,■軸14 =AXIS 14
P002_ServoAdjustment,Fault,16,Data Source/Sink Comments,■軸15 =AXIS 15
P002_ServoAdjustment,Fault,17,Data Source/Sink Comments,■軸16 =AXIS 16
P002_ServoAdjustment,Fault,18,Data Source/Sink Comments,■軸17 =AXIS 17
P002_ServoAdjustment,Fault,19,Data Source/Sink Comments,■軸18 =AXIS 18
P002_ServoAdjustment,Fault,20,Data Source/Sink Comments,■軸19 =AXIS 19
P002_ServoAdjustment,Fault,21,Data Source/Sink Comments,■軸20 =AXIS 20
P002_ServoAdjustment,Fault,22,Data Source/Sink Comments,■軸21 =AXIS 21
P002_ServoAdjustment,Fault,23,Data Source/Sink Comments,■軸22 =AXIS 22
P002_ServoAdjustment,Fault,24,Data Source/Sink Comments,■軸23 =AXIS 23
P002_ServoAdjustment,Fault,25,Data Source/Sink Comments,■軸24 =AXIS 24
P002_ServoAdjustment,Fault,26,Data Source/Sink Comments,■軸25 =AXIS 25
P002_ServoAdjustment,Fault,27,Data Source/Sink Comments,■軸26 =AXIS 26
P002_ServoAdjustment,Fault,28,Data Source/Sink Comments,■軸27 =AXIS 27
P002_ServoAdjustment,Fault,29,Data Source/Sink Comments,■軸28 =AXIS 28
P002_ServoAdjustment,Fault,30,Data Source/Sink Comments,■軸29 =AXIS 29
P002_ServoAdjustment,Fault,31,Data Source/Sink Comments,■軸30 =AXIS 30
P002_ServoAdjustment,Fault,32,Data Source/Sink Comments,■軸31 =AXIS 31
P002_ServoAdjustment,Fault,33,Data Source/Sink Comments,■軸32 =AXIS 32
P002_ServoAdjustment,Fault,34,Data Source/Sink Comments,■緊急停止 =EMERGENCY STOP
P002_ServoAdjustment,Fault,46,Data Source/Sink Comments,■ｻｲｸﾙ停止 =CYCLE STOP
P002_ServoAdjustment,Fault,58,Data Source/Sink Comments,■予告警報 =WARNING
P002_ServoAdjustment,Fault,71,Data Source/Sink Comments,■緊急停止総合 =EMERGENCY STOP TOTAL
P002_ServoAdjustment,Fault,72,Data Source/Sink Comments,■ｻｲｸﾙ停止総合 =CYCLE STOP TOTAL
P002_ServoAdjustment,Fault,73,Data Source/Sink Comments,■予告警告総合 =WARNING TOTAL
P002_ServoAdjustment,ServoAdjustment,2,Data Source/Sink Comments,全軸ｻｰﾎﾞﾛｯｸ判定 =ALL AXIS SERVO LOCK JUDGMENT
